Order_ID,Order_Date,Customer_ID,Product_ID,Channel_ID,Supplier_ID,Quantity,Unit_Selling_Price,Unit_Cost_Price,Discount_Pct,Shipping_Fee,Delivery_Days,Order_Status,Customer_Rating
ORD-2026-00030,2026-01-01,CUST-1481,PROD-109,CH-06,SUP-40,1,199,110,0.0,40.0,4,Delivered,4.0
ORD-2026-00031,2026-01-01,CUST-1788,PROD-109,CH-04,SUP-40,3,199,110,0.0,0.0,0,Delivered,5.0
ORD-2026-00032,2026-01-01,CUST-1113,PROD-101,CH-03,SUP-10,3,324,180,0.0,0.0,0,Delivered,5.0
ORD-2026-00033,2026-01-01,CUST-1257,PROD-111,CH-03,SUP-30,2,360,200,0.1,0.0,0,Delivered,5.0
ORD-2026-00034,2026-01-01,CUST-2473,PROD-108,CH-04,SUP-50,1,400,220,0.05,15.0,0,Delivered,3.0
ORD-2026-00035,2026-01-01,CUST-1567,PROD-108,CH-01,SUP-50,1,400,220,0.15,40.0,4,Delivered,5.0
ORD-2026-00036,2026-01-01,CUST-2257,PROD-106,CH-04,SUP-20,3,246,130,0.1,0.0,0,Delivered,2.0
ORD-2026-00037,2026-01-01,CUST-0908,PROD-105,CH-03,SUP-20,1,289,150,0.0,15.0,0,Delivered,5.0
ORD-2026-00038,2026-01-01,CUST-0644,PROD-112,CH-05,SUP-30,1,280,150,0.15,15.0,0,Delivered,3.0
ORD-2026-00039,2026-01-01,CUST-0432,PROD-111,CH-05,SUP-30,2,360,200,0.05,0.0,0,Delivered,4.0
ORD-2026-00040,2026-01-01,CUST-1038,PROD-105,CH-05,SUP-20,1,289,150,0.1,15.0,0,Delivered,5.0
ORD-2026-00041,2026-01-01,CUST-1555,PROD-104,CH-01,SUP-20,1,299,160,0.05,40.0,2,Delivered,5.0
ORD-2026-00042,2026-01-01,CUST-0624,PROD-102,CH-02,SUP-10,5,350,210,0.05,0.0,4,Delivered,5.0
ORD-2026-00043,2026-01-01,CUST-1564,PROD-107,CH-01,SUP-50,1,225,125,0.05,40.0,2,Delivered,4.0
ORD-2026-00044,2026-01-01,CUST-1467,PROD-101,CH-03,SUP-10,1,324,180,0.0,15.0,0,Delivered,4.0
ORD-2026-00045,2026-01-01,CUST-1595,PROD-112,CH-01,SUP-30,2,280,150,0.05,0.0,4,Delivered,4.0
ORD-2026-00046,2026-01-01,CUST-1701,PROD-110,CH-04,SUP-40,1,360,190,0.05,15.0,0,Delivered,5.0
ORD-2026-00047,2026-01-01,CUST-1807,PROD-110,CH-03,SUP-40,1,360,190,0.0,15.0,0,Delivered,3.0
ORD-2026-00048,2026-01-01,CUST-1971,PROD-105,CH-02,SUP-20,3,289,150,0.1,0.0,3,Cancelled,
ORD-2026-00049,2026-01-01,CUST-1692,PROD-101,CH-02,SUP-10,1,324,180,0.0,40.0,1,Delivered,5.0
ORD-2026-00050,2026-01-01,CUST-1968,PROD-112,CH-04,SUP-30,1,280,150,0.1,15.0,0,Delivered,3.0
ORD-2026-00051,2026-01-01,CUST-0334,PROD-109,CH-04,SUP-40,2,199,110,0.0,0.0,0,Delivered,2.0
ORD-2026-00052,2026-01-01,CUST-1524,PROD-109,CH-02,SUP-40,1,199,110,0.05,40.0,1,Delivered,4.0
ORD-2026-00053,2026-01-01,CUST-1878,PROD-102,CH-01,SUP-10,1,350,210,0.1,40.0,1,Delivered,5.0
ORD-2026-00054,2026-01-01,CUST-2296,PROD-108,CH-01,SUP-50,2,400,220,0.0,0.0,1,Delivered,5.0
ORD-2026-00055,2026-01-01,CUST-1452,PROD-103,CH-01,SUP-20,3,199,110,0.05,0.0,1,Delivered,5.0
ORD-2026-00056,2026-01-01,CUST-0628,PROD-110,CH-02,SUP-40,3,360,190,0.05,0.0,1,Delivered,5.0
ORD-2026-00057,2026-01-01,CUST-1657,PROD-102,CH-01,SUP-10,2,350,210,0.2,0.0,2,Delivered,4.0
ORD-2026-00058,2026-01-01,CUST-2157,PROD-110,CH-03,SUP-40,1,360,190,0.0,15.0,0,Delivered,4.0
ORD-2026-00059,2026-01-01,CUST-0147,PROD-105,CH-02,SUP-20,1,289,150,0.0,40.0,3,Delivered,5.0
ORD-2026-00060,2026-01-01,CUST-0523,PROD-107,CH-02,SUP-50,3,225,125,0.1,0.0,2,Delivered,5.0
ORD-2026-00061,2026-01-01,CUST-2331,PROD-103,CH-05,SUP-20,1,199,110,0.05,15.0,0,Cancelled,
ORD-2026-00062,2026-01-01,CUST-0552,PROD-102,CH-04,SUP-10,1,350,210,0.1,15.0,0,Delivered,4.0
ORD-2026-00063,2026-01-01,CUST-0856,PROD-106,CH-06,SUP-20,2,246,130,0.2,40.0,3,Delivered,5.0
ORD-2026-00064,2026-01-01,CUST-1469,PROD-104,CH-04,SUP-20,1,299,160,0.05,15.0,0,Delivered,4.0
ORD-2026-00065,2026-01-01,CUST-1496,PROD-105,CH-01,SUP-20,1,289,150,0.0,40.0,3,Delivered,5.0
ORD-2026-00066,2026-01-01,CUST-0237,PROD-103,CH-02,SUP-20,1,199,110,0.05,40.0,1,Delivered,3.0
ORD-2026-00067,2026-01-01,CUST-1342,PROD-112,CH-03,SUP-30,1,280,150,0.0,15.0,0,Delivered,3.0
ORD-2026-00068,2026-01-01,CUST-0363,PROD-101,CH-03,SUP-10,2,324,180,0.1,0.0,0,Delivered,4.0
ORD-2026-00069,2026-01-02,CUST-1465,PROD-109,CH-01,SUP-40,1,199,110,0.1,40.0,3,Delivered,4.0
ORD-2026-00070,2026-01-02,CUST-2435,PROD-105,CH-01,SUP-20,2,289,150,0.05,0.0,3,Delivered,5.0
ORD-2026-00071,2026-01-02,CUST-0104,PROD-108,CH-05,SUP-50,1,400,220,0.05,15.0,0,Delivered,5.0
ORD-2026-00072,2026-01-02,CUST-2174,PROD-112,CH-03,SUP-30,1,280,150,0.05,15.0,0,Delivered,1.0
ORD-2026-00073,2026-01-02,CUST-2400,PROD-107,CH-05,SUP-50,1,225,125,0.05,15.0,0,Delivered,5.0
ORD-2026-00074,2026-01-02,CUST-0519,PROD-104,CH-02,SUP-20,2,299,160,0.05,0.0,3,Delivered,3.0
ORD-2026-00075,2026-01-02,CUST-1995,PROD-112,CH-02,SUP-30,2,280,150,0.05,0.0,4,Delivered,5.0
ORD-2026-00076,2026-01-02,CUST-0837,PROD-104,CH-01,SUP-20,2,299,160,0.05,0.0,4,Delivered,4.0
ORD-2026-00077,2026-01-02,CUST-1414,PROD-109,CH-02,SUP-40,1,199,110,0.1,40.0,2,Delivered,4.0
ORD-2026-00078,2026-01-02,CUST-0228,PROD-106,CH-04,SUP-20,1,246,130,0.0,15.0,0,Delivered,5.0
ORD-2026-00079,2026-01-02,CUST-0760,PROD-109,CH-01,SUP-40,1,199,110,0.05,40.0,4,Delivered,4.0
ORD-2026-00080,2026-01-02,CUST-1366,PROD-112,CH-01,SUP-30,1,280,150,0.0,40.0,4,Delivered,4.0
ORD-2026-00081,2026-01-02,CUST-1868,PROD-104,CH-03,SUP-20,1,299,160,0.0,15.0,0,Delivered,5.0
ORD-2026-00082,2026-01-02,CUST-0864,PROD-101,CH-02,SUP-10,5,324,180,0.05,0.0,2,Delivered,5.0
ORD-2026-00083,2026-01-02,CUST-1243,PROD-111,CH-01,SUP-30,1,360,200,0.05,40.0,2,Delivered,2.0
ORD-2026-00084,2026-01-02,CUST-1936,PROD-105,CH-04,SUP-20,1,289,150,0.05,15.0,0,Delivered,5.0
ORD-2026-00085,2026-01-02,CUST-1482,PROD-109,CH-01,SUP-40,1,199,110,0.05,40.0,4,Delivered,4.0
ORD-2026-00086,2026-01-02,CUST-0686,PROD-101,CH-05,SUP-10,1,324,180,0.0,15.0,0,Delivered,5.0
ORD-2026-00087,2026-01-02,CUST-2306,PROD-110,CH-03,SUP-40,1,360,190,0.15,15.0,0,Cancelled,
ORD-2026-00088,2026-01-02,CUST-2303,PROD-109,CH-03,SUP-40,2,199,110,0.05,0.0,0,Delivered,3.0
ORD-2026-00089,2026-01-02,CUST-2350,PROD-103,CH-05,SUP-20,2,199,110,0.0,0.0,0,Delivered,4.0
ORD-2026-00090,2026-01-02,CUST-1108,PROD-108,CH-05,SUP-50,1,400,220,0.05,15.0,0,Delivered,3.0
ORD-2026-00091,2026-01-02,CUST-0340,PROD-107,CH-05,SUP-50,1,225,125,0.15,15.0,0,Cancelled,
ORD-2026-00092,2026-01-02,CUST-1755,PROD-108,CH-03,SUP-50,1,400,220,0.0,15.0,0,Delivered,4.0
ORD-2026-00093,2026-01-02,CUST-1029,PROD-107,CH-06,SUP-50,1,225,125,0.0,40.0,4,Delivered,3.0
ORD-2026-00094,2026-01-02,CUST-1226,PROD-110,CH-04,SUP-40,1,360,190,0.0,15.0,0,Delivered,4.0
ORD-2026-00095,2026-01-02,CUST-1648,PROD-104,CH-06,SUP-20,4,299,160,0.15,0.0,4,Delivered,5.0
ORD-2026-00096,2026-01-02,CUST-1828,PROD-103,CH-04,SUP-20,1,199,110,0.1,15.0,0,Delivered,5.0
ORD-2026-00097,2026-01-02,CUST-1753,PROD-102,CH-02,SUP-10,2,350,210,0.05,0.0,3,Delivered,4.0
ORD-2026-00098,2026-01-02,CUST-0039,PROD-103,CH-02,SUP-20,2,199,110,0.2,40.0,2,Delivered,3.0
ORD-2026-00099,2026-01-02,CUST-0814,PROD-101,CH-05,SUP-10,1,324,180,0.05,15.0,0,Delivered,5.0
ORD-2026-00100,2026-01-02,CUST-0089,PROD-107,CH-03,SUP-50,3,225,125,0.0,0.0,0,Delivered,5.0
ORD-2026-00101,2026-01-02,CUST-0992,PROD-111,CH-03,SUP-30,3,360,200,0.0,0.0,0,Delivered,4.0
ORD-2026-00102,2026-01-02,CUST-0698,PROD-109,CH-03,SUP-40,1,199,110,0.05,15.0,0,Delivered,2.0
ORD-2026-00103,2026-01-02,CUST-1053,PROD-103,CH-05,SUP-20,3,199,110,0.05,0.0,0,Returned,
ORD-2026-00104,2026-01-02,CUST-1159,PROD-112,CH-06,SUP-30,1,280,150,0.0,40.0,1,Delivered,3.0
ORD-2026-00105,2026-01-02,CUST-1035,PROD-110,CH-02,SUP-40,1,360,190,0.0,40.0,2,Delivered,4.0
ORD-2026-00106,2026-01-02,CUST-0175,PROD-102,CH-01,SUP-10,2,350,210,0.05,0.0,4,Delivered,4.0
ORD-2026-00107,2026-01-02,CUST-2030,PROD-105,CH-01,SUP-20,3,289,150,0.15,0.0,1,Delivered,5.0
ORD-2026-00108,2026-01-02,CUST-2454,PROD-102,CH-03,SUP-10,1,350,210,0.1,15.0,0,Delivered,4.0
ORD-2026-00109,2026-01-02,CUST-1417,PROD-102,CH-02,SUP-10,2,350,210,0.0,0.0,4,Delivered,4.0
ORD-2026-00110,2026-01-02,CUST-1018,PROD-106,CH-03,SUP-20,3,246,130,0.1,0.0,0,Delivered,5.0
ORD-2026-00111,2026-01-02,CUST-2299,PROD-108,CH-02,SUP-50,2,400,220,0.2,0.0,2,Cancelled,
ORD-2026-00112,2026-01-02,CUST-1804,PROD-104,CH-05,SUP-20,3,299,160,0.2,0.0,0,Delivered,5.0
ORD-2026-00113,2026-01-02,CUST-2145,PROD-105,CH-01,SUP-20,3,289,150,0.2,0.0,4,Delivered,5.0
ORD-2026-00114,2026-01-02,CUST-2333,PROD-104,CH-01,SUP-20,4,299,160,0.0,0.0,4,Returned,
ORD-2026-00115,2026-01-02,CUST-0477,PROD-107,CH-01,SUP-50,5,225,125,0.05,0.0,2,Delivered,5.0
ORD-2026-00116,2026-01-02,CUST-1109,PROD-101,CH-03,SUP-10,1,324,180,0.0,15.0,0,Cancelled,
ORD-2026-00117,2026-01-02,CUST-1765,PROD-107,CH-01,SUP-50,2,225,125,0.1,40.0,3,Delivered,4.0
ORD-2026-00118,2026-01-02,CUST-1650,PROD-102,CH-01,SUP-10,2,350,210,0.0,0.0,4,Delivered,3.0
ORD-2026-00119,2026-01-02,CUST-0789,PROD-109,CH-01,SUP-40,1,199,110,0.15,40.0,4,Delivered,3.0
ORD-2026-00120,2026-01-02,CUST-2104,PROD-101,CH-01,SUP-10,3,324,180,0.1,0.0,1,Delivered,4.0
ORD-2026-00121,2026-01-02,CUST-2067,PROD-104,CH-01,SUP-20,1,299,160,0.1,40.0,4,Delivered,2.0
ORD-2026-00122,2026-01-02,CUST-1037,PROD-107,CH-02,SUP-50,1,225,125,0.1,40.0,2,Delivered,4.0
ORD-2026-00123,2026-01-02,CUST-0410,PROD-103,CH-01,SUP-20,1,199,110,0.05,40.0,4,Delivered,5.0
ORD-2026-00124,2026-01-02,CUST-0483,PROD-104,CH-03,SUP-20,1,299,160,0.05,15.0,0,Delivered,5.0
ORD-2026-00125,2026-01-02,CUST-1254,PROD-109,CH-01,SUP-40,1,199,110,0.0,40.0,3,Delivered,5.0
ORD-2026-00126,2026-01-02,CUST-1557,PROD-109,CH-01,SUP-40,2,199,110,0.15,40.0,2,Delivered,5.0
ORD-2026-00127,2026-01-02,CUST-0094,PROD-105,CH-05,SUP-20,1,289,150,0.15,15.0,0,Delivered,5.0
ORD-2026-00128,2026-01-02,CUST-0423,PROD-101,CH-05,SUP-10,2,324,180,0.1,0.0,0,Delivered,4.0
ORD-2026-00129,2026-01-02,CUST-1496,PROD-112,CH-05,SUP-30,1,280,150,0.0,15.0,0,Delivered,4.0
ORD-2026-00130,2026-01-02,CUST-1968,PROD-101,CH-04,SUP-10,1,324,180,0.1,15.0,0,Delivered,5.0
ORD-2026-00131,2026-01-02,CUST-0908,PROD-108,CH-04,SUP-50,1,400,220,0.1,15.0,0,Delivered,3.0
ORD-2026-00132,2026-01-02,CUST-0450,PROD-105,CH-01,SUP-20,2,289,150,0.0,0.0,3,Delivered,2.0
ORD-2026-00133,2026-01-02,CUST-2133,PROD-105,CH-03,SUP-20,1,289,150,0.05,15.0,0,Delivered,5.0
ORD-2026-00134,2026-01-02,CUST-2415,PROD-106,CH-03,SUP-20,3,246,130,0.1,0.0,0,Delivered,5.0
ORD-2026-00135,2026-01-03,CUST-1730,PROD-109,CH-01,SUP-40,1,199,110,0.15,40.0,1,Delivered,5.0
ORD-2026-00136,2026-01-03,CUST-2301,PROD-107,CH-03,SUP-50,2,225,125,0.05,0.0,0,Delivered,5.0
ORD-2026-00137,2026-01-03,CUST-1317,PROD-110,CH-02,SUP-40,1,360,190,0.05,40.0,4,Delivered,5.0
ORD-2026-00138,2026-01-03,CUST-2243,PROD-102,CH-02,SUP-10,2,350,210,0.1,0.0,2,Delivered,5.0
ORD-2026-00139,2026-01-03,CUST-2415,PROD-110,CH-01,SUP-40,1,360,190,0.15,40.0,4,Delivered,4.0
ORD-2026-00140,2026-01-03,CUST-2011,PROD-108,CH-01,SUP-50,1,400,220,0.1,40.0,3,Delivered,5.0
ORD-2026-00141,2026-01-03,CUST-1587,PROD-102,CH-04,SUP-10,1,350,210,0.15,15.0,0,Delivered,1.0
ORD-2026-00142,2026-01-03,CUST-0977,PROD-106,CH-04,SUP-20,1,246,130,0.0,15.0,0,Delivered,5.0
ORD-2026-00143,2026-01-03,CUST-2483,PROD-108,CH-04,SUP-50,3,400,220,0.15,0.0,0,Delivered,5.0
ORD-2026-00144,2026-01-03,CUST-1284,PROD-106,CH-02,SUP-20,1,246,130,0.0,40.0,2,Delivered,5.0
ORD-2026-00145,2026-01-03,CUST-1835,PROD-108,CH-01,SUP-50,1,400,220,0.2,40.0,3,Delivered,5.0
ORD-2026-00146,2026-01-03,CUST-2269,PROD-110,CH-03,SUP-40,1,360,190,0.05,15.0,0,Delivered,2.0
ORD-2026-00147,2026-01-03,CUST-1963,PROD-103,CH-04,SUP-20,1,199,110,0.0,15.0,0,Delivered,4.0
ORD-2026-00148,2026-01-03,CUST-1613,PROD-111,CH-05,SUP-30,2,360,200,0.0,0.0,0,Delivered,5.0
ORD-2026-00149,2026-01-03,CUST-2040,PROD-107,CH-05,SUP-50,1,225,125,0.05,15.0,0,Delivered,5.0
ORD-2026-00150,2026-01-03,CUST-0988,PROD-109,CH-06,SUP-40,2,199,110,0.0,40.0,4,Returned,
ORD-2026-00151,2026-01-03,CUST-1595,PROD-102,CH-05,SUP-10,1,350,210,0.0,15.0,0,Delivered,4.0
ORD-2026-00152,2026-01-03,CUST-1063,PROD-105,CH-01,SUP-20,1,289,150,0.1,40.0,4,Delivered,4.0
ORD-2026-00153,2026-01-03,CUST-0161,PROD-104,CH-02,SUP-20,3,299,160,0.1,0.0,2,Cancelled,
ORD-2026-00154,2026-01-03,CUST-0877,PROD-102,CH-02,SUP-10,1,350,210,0.15,40.0,2,Delivered,5.0
ORD-2026-00155,2026-01-03,CUST-2138,PROD-112,CH-04,SUP-30,1,280,150,0.0,15.0,0,Delivered,5.0
ORD-2026-00156,2026-01-03,CUST-2423,PROD-108,CH-04,SUP-50,1,400,220,0.2,15.0,0,Delivered,5.0
ORD-2026-00157,2026-01-03,CUST-1027,PROD-109,CH-01,SUP-40,1,199,110,0.15,40.0,4,Delivered,3.0
ORD-2026-00158,2026-01-03,CUST-1310,PROD-109,CH-01,SUP-40,1,199,110,0.0,40.0,2,Delivered,5.0
ORD-2026-00159,2026-01-03,CUST-0060,PROD-110,CH-04,SUP-40,1,360,190,0.1,15.0,0,Delivered,5.0
ORD-2026-00160,2026-01-03,CUST-1099,PROD-103,CH-05,SUP-20,1,199,110,0.0,15.0,0,Delivered,5.0
ORD-2026-00161,2026-01-03,CUST-2323,PROD-101,CH-06,SUP-10,1,324,180,0.1,40.0,4,Delivered,4.0
ORD-2026-00162,2026-01-03,CUST-1161,PROD-111,CH-03,SUP-30,3,360,200,0.05,0.0,0,Delivered,3.0
ORD-2026-00163,2026-01-03,CUST-1436,PROD-108,CH-03,SUP-50,1,400,220,0.0,15.0,0,Delivered,4.0
ORD-2026-00164,2026-01-03,CUST-1806,PROD-109,CH-04,SUP-40,4,199,110,0.05,0.0,0,Delivered,4.0
ORD-2026-00165,2026-01-03,CUST-0017,PROD-103,CH-05,SUP-20,1,199,110,0.1,15.0,0,Delivered,1.0
ORD-2026-00166,2026-01-03,CUST-0491,PROD-102,CH-04,SUP-10,3,350,210,0.05,0.0,0,Delivered,5.0
ORD-2026-00167,2026-01-03,CUST-2190,PROD-112,CH-02,SUP-30,3,280,150,0.0,0.0,1,Delivered,5.0
ORD-2026-00168,2026-01-03,CUST-2051,PROD-110,CH-01,SUP-40,1,360,190,0.15,40.0,2,Delivered,5.0
ORD-2026-00169,2026-01-03,CUST-2152,PROD-102,CH-05,SUP-10,1,350,210,0.15,15.0,0,Delivered,5.0
ORD-2026-00170,2026-01-03,CUST-0683,PROD-108,CH-04,SUP-50,1,400,220,0.1,15.0,0,Delivered,5.0
ORD-2026-00171,2026-01-03,CUST-1823,PROD-102,CH-06,SUP-10,1,350,210,0.0,40.0,1,Delivered,5.0
ORD-2026-00172,2026-01-03,CUST-0751,PROD-112,CH-03,SUP-30,2,280,150,0.1,0.0,0,Delivered,5.0
ORD-2026-00173,2026-01-03,CUST-0441,PROD-103,CH-06,SUP-20,2,199,110,0.0,40.0,2,Delivered,5.0
ORD-2026-00174,2026-01-03,CUST-1731,PROD-104,CH-04,SUP-20,1,299,160,0.1,15.0,0,Delivered,5.0
ORD-2026-00175,2026-01-03,CUST-1287,PROD-106,CH-05,SUP-20,3,246,130,0.0,0.0,0,Delivered,4.0
ORD-2026-00176,2026-01-03,CUST-2178,PROD-101,CH-03,SUP-10,1,324,180,0.05,15.0,0,Delivered,1.0
ORD-2026-00177,2026-01-03,CUST-2043,PROD-106,CH-03,SUP-20,4,246,130,0.15,0.0,0,Delivered,4.0
ORD-2026-00178,2026-01-03,CUST-1236,PROD-102,CH-01,SUP-10,1,350,210,0.1,40.0,3,Cancelled,
ORD-2026-00179,2026-01-03,CUST-1627,PROD-108,CH-04,SUP-50,1,400,220,0.1,15.0,0,Delivered,4.0
ORD-2026-00180,2026-01-03,CUST-2069,PROD-104,CH-05,SUP-20,1,299,160,0.1,15.0,0,Delivered,5.0
ORD-2026-00181,2026-01-03,CUST-2182,PROD-104,CH-01,SUP-20,1,299,160,0.0,40.0,3,Delivered,3.0
ORD-2026-00182,2026-01-03,CUST-2000,PROD-108,CH-03,SUP-50,2,400,220,0.05,0.0,0,Delivered,3.0
ORD-2026-00183,2026-01-03,CUST-1713,PROD-106,CH-01,SUP-20,1,246,130,0.2,40.0,4,Delivered,4.0
ORD-2026-00184,2026-01-03,CUST-0529,PROD-104,CH-06,SUP-20,1,299,160,0.1,40.0,1,Delivered,4.0
ORD-2026-00185,2026-01-03,CUST-1525,PROD-101,CH-05,SUP-10,3,324,180,0.05,0.0,0,Delivered,5.0
ORD-2026-00186,2026-01-03,CUST-2452,PROD-109,CH-06,SUP-40,1,199,110,0.05,40.0,2,Delivered,5.0
ORD-2026-00187,2026-01-03,CUST-1655,PROD-101,CH-05,SUP-10,5,324,180,0.0,0.0,0,Delivered,4.0
ORD-2026-00188,2026-01-03,CUST-2494,PROD-110,CH-01,SUP-40,1,360,190,0.0,40.0,4,Cancelled,
ORD-2026-00189,2026-01-03,CUST-1898,PROD-110,CH-03,SUP-40,3,360,190,0.05,0.0,0,Delivered,3.0
ORD-2026-00190,2026-01-03,CUST-0855,PROD-108,CH-03,SUP-50,2,400,220,0.15,0.0,0,Delivered,4.0
ORD-2026-00191,2026-01-03,CUST-0862,PROD-110,CH-01,SUP-40,5,360,190,0.0,0.0,4,Delivered,5.0
ORD-2026-00192,2026-01-03,CUST-0367,PROD-111,CH-04,SUP-30,1,360,200,0.15,15.0,0,Delivered,5.0
ORD-2026-00193,2026-01-03,CUST-1832,PROD-101,CH-04,SUP-10,1,324,180,0.1,15.0,0,Cancelled,
ORD-2026-00194,2026-01-03,CUST-1468,PROD-105,CH-01,SUP-20,1,289,150,0.05,40.0,3,Delivered,5.0
ORD-2026-00195,2026-01-03,CUST-1217,PROD-106,CH-06,SUP-20,2,246,130,0.1,40.0,3,Delivered,5.0
ORD-2026-00196,2026-01-03,CUST-0013,PROD-106,CH-02,SUP-20,2,246,130,0.05,40.0,1,Delivered,5.0
ORD-2026-00197,2026-01-03,CUST-0771,PROD-109,CH-04,SUP-40,1,199,110,0.05,15.0,0,Cancelled,
ORD-2026-00198,2026-01-03,CUST-0447,PROD-101,CH-03,SUP-10,1,324,180,0.0,15.0,0,Delivered,5.0
ORD-2026-00199,2026-01-03,CUST-0628,PROD-103,CH-03,SUP-20,1,199,110,0.05,15.0,0,Delivered,4.0
ORD-2026-00200,2026-01-03,CUST-2496,PROD-101,CH-01,SUP-10,1,324,180,0.1,40.0,1,Delivered,5.0
ORD-2026-00201,2026-01-03,CUST-1318,PROD-106,CH-01,SUP-20,1,246,130,0.05,40.0,4,Delivered,5.0
ORD-2026-00202,2026-01-03,CUST-0347,PROD-108,CH-04,SUP-50,2,400,220,0.05,0.0,0,Delivered,5.0
ORD-2026-00203,2026-01-03,CUST-1715,PROD-107,CH-01,SUP-50,2,225,125,0.0,40.0,2,Delivered,2.0
ORD-2026-00204,2026-01-03,CUST-1066,PROD-103,CH-04,SUP-20,4,199,110,0.0,0.0,0,Delivered,4.0
ORD-2026-00205,2026-01-03,CUST-1518,PROD-112,CH-03,SUP-30,5,280,150,0.1,0.0,0,Delivered,5.0
ORD-2026-00206,2026-01-04,CUST-0290,PROD-109,CH-02,SUP-40,2,199,110,0.05,40.0,4,Delivered,5.0
ORD-2026-00207,2026-01-04,CUST-1779,PROD-106,CH-01,SUP-20,5,246,130,0.05,0.0,1,Delivered,4.0
ORD-2026-00208,2026-01-04,CUST-2064,PROD-109,CH-03,SUP-40,1,199,110,0.1,15.0,0,Delivered,5.0
ORD-2026-00209,2026-01-04,CUST-2414,PROD-107,CH-02,SUP-50,1,225,125,0.2,40.0,3,Delivered,4.0
